 host_a , host_b , fa_a , fa_b , nms , ne_a , board_a , rack_a , shelf_a , slot_a , port_a , freq_a , ne_b , board_b , rack_b , shelf_b , slot_b , port_b , freq_b 
 ME2-D1-PGCA , ME-D1-TJKA ,1/2/6,4/2/1,SBCS,244_SBCS_PGC_02,55TQX(STND),,0,35,4,,242_SBCS_BLP_00,52TQX,,0,25,4,
 ME2-D1-PGCA , ME-D1-BTRA ,1/1/2,1/1/2,JASUKA,Palembang-1,IO1T10G-1/LH,,3,2,,192.9,Baturaja-1,IO1T10G-1/LH,,6,6,,192.9
 ME2-D1-PGCA , ME-D1-BTRA ,1/2/3,5/2/1,JASUKA,PGC_CORIANT,10T100G,,4,1,9,194.7,BTA_CORIANT,10T100G,,9,1,9, 194.7 
 ME2-D1-PGCA , ME-D1-BTRA ,6/2/2,5/1/1,JASUKA,PGC_CORIANT,10T100G,,4,1,7,194.7, BTA_CORIANT ,10T100G,, 9 , 1 , 7 ,194.7
 ME2-D1-PGCA , ME-D1-BTRA ,7/1/5,2/1/1,JASUKA,Palembang-1,IO1T10G-1/LH,,3,4,,193.8,Baturaja-1,IO1T10G-1/LH,,4,2,, 193.8 
 ME2-D1-PGCA , ME-D1-BTRA ,1/1/6,1/2/1,JASUKA,PGC_CORIANT,10T100G,,4,1,10,194.7, BTA_CORIANT ,10T100G,, 9 , 1 , 10 ,194.7
 ME2-D1-PGCA , ME3-D1-TLKA ,1/1/1,1/1/2,JASUKA,PGC_CORIANT,10T100G,,5,,7,194.7,TLK_CORIANT,10T100G,,9,,7, 194.7 
 ME2-D1-PGCA , ME3-D1-TLKA ,3/2/1,5/1/4,FO, DIRECT CORE ,,,,,,,,,,,,,
 ME2-D1-PGCA , ME3-D1-TLKA ,6/2/1,9/1/1,FO,DIRECT CORE,,,,,,,,,,,,,
 ME2-D1-PGCA , ME3-D1-TLKA ,7/1/4,6/1/3,SBCS,244_SBCS_PGC_02,55TQX(STND),,0,33,4,,245_SBCS_TKP_01,55TQX(STND),,0,31,4,
 ME-D1-TJKA , ME-D1-TJNA ,4/1/4,3/1/1,SBCS,242_SBCS_BLP_00,52TQX,,0,25,1,,241_SBCS_CKA_01,55TQX(STND),,0,22,3,
,,,,JASUKA,NSN_7300_CKA,IO1T10G-1/LH,,,,1,193.3,NSN_7300_JTN,IO1T10G-1/LH,,,,1, 193.3 
,,,,JASUKA,NSN_7300_JTN,IO1T10G-1/LH,,,,1,192.6,NSN_7300_TJP,IO1T10G-1/LH,,,,1, 192.6 
,,,,JASUKA,JASUKA_NEC_TJP,SLTM,,,,,CH 15 (1085),JASUKA_NEC_TJN,SLTM,,,,, CH 15 (1085) 
 ME-D1-KDTA , ME-D1-TJKA ,5/1/4,4/1/2,FO,DIRECT CORE,,,,,,,,,,,,,
 ME-D1-KDTA , ME-D1-TJKA ,5/1/6,2/2/6,FO,DIRECT CORE,,,,,,,,,,,,,
 ME-D1-KDTA , ME-D1-BTRA ,5/2/1,3/2/1,JASUKA, NSN_7300_BTA ,IO1T10G-1/LH,,5,11,,192.9, NSN_7300_BDL ,IO1T10G-1/LH,,2,12,,192.9
 ME-D1-KDTA , ME-D1-BTRA ,5/2/2,5/2/2,JASUKA,NSN_7300_BTA,IO1T10G-1/LH,,2,15,,195.9,NSN_7300_BDL,IO1T10G-1/LH,,2,10,, 195.9 
ME-D1-KDTA,ME2-D1-KOTA,5/2/3, 2/1/1 , JASUKA ,BDL-HIT7300-SON-01,IO1T10G-1/LH,,1,1,,193.7, KTA-HIT7300-SON-01 ,IO1T10G-1/LH,,2,1,,193.7
 ME-D1-LLGA , ME-D1-BTRA ,2/2/2,1/1/1,JASUKA,LUBUKLINGGAU-1,I10T100G,,2,15,,193.8,BATURAJA-1,IO1T10G-1/LH,,2,8,, 193.8 
ME-D1-LLGA,ME-D1-BTRA,4/1/1,5/1/2,JASUKA,LUBUKLINGGAU-1,I10T100G,,7,1,7,196.0, BATURAJA-1 ,I10T100G,,4,1,7,196.0
 ME-D1-LLGA , ME-D1-BTRA ,5/1/1,4/1/1,JASUKA,LUBUKLINGGAU-1,IO1T10G-1/LH,,2,13,,193.9,BATURAJA-1,IO1T10G-1/LH,,2,7,, 193.9 
ME-D1-LLGA,ME-D1-BTRA,5/1/2,1/2/2,JASUKA,LUBUKLINGGAU-1,I10T100G,,7,1,9,196.0, BATURAJA-1 ,I10T100G,,4,1,7,196.0
 ME-D1-LLGA , ME-D1-BNKC ,3/1/2,4/1/2,JASUKA,LUBUKLINGGAU-1,I10T100G,,3,12,,193.8,Bengkulu-1,I10T100G,,1,13,, 193.8 
ME-D1-LLGA,ME-D1-BNKC,4/1/2,5/1/2,JASUKA,LUBUKLINGGAU-1,I04T40G,,5,1,1,193.6,Bengkulu-1,I04T40G,,2,2,1,193.6
 ME-D1-LLGA , ME-D1-BNKC ,4/2/2,5/2/2,JASUKA,LUBUKLINGGAU-1,I04T40G,,5,1,3,193.6,Bengkulu-1,I04T40G,,2,2,3, 193.6 
 ME-D1-LLGA , ME2-D1-MABA ,5/2/2,2/1/3,JASUKA,LUBUKLINGGAU-1,IO1T10G-1/LH,,1,12,,194.4,Muara Bungo-1,IO1T10G-1/LH,,3,12,, 194.4 
 ME-D1-LLGA , ME2-D1-MABA ,1/2/2 ,2/1/1,JASUKA,LUBUKLINGGAU-1,IO1T10G-1/LH,,4,5,,193.9,Muara Bungo-1,IO1T10G-1/LH,,4,4,, 193.9 
 ME-D1-LLGA , ME2-D1-MABA ,2/2/1,2/1/2,JASUKA,LUBUKLINGGAU-1,IO1T10G-1/LH,,4,6,, 193.8 ,Muara Bungo-1,IO1T10G-1/LH,,4,5,, 193.8 
 ME-D1-LLGA , ME2-D1-MABA ,4/2/1,2/1/4,JASUKA,LUBUKLINGGAU-1,I10T100G,,6,1,7,196.0,Muara Bungo-1,I10T100G,,7,1,7, 196.0 
 ME3-D1-TLKA , ME-D1-BNKC_1 ,6/1/5,5/2/1,JASUKA,NSN_SYNERGY_BN,IO4T40G,,1,9,4,194.0,NSN_SYNERGY_PD_BN,IO4T40G,,1,9,4,194.0
,,,,JASUKA,NSN_SYNERGY_PD_PBR,IO4T40G,,2,7,4,193.7,NSN_SYNERGY_PBR_PD,IO4T40G,,1,12,4,193.7
,,,,SBCS,250_SBCS_PKB_01,11LTX,,0,30,5,192.2,226_SBCS_PGC_01,11LTX,,0,2,5,192.2
,,,,FO,PGC-TLK DIRECT CORE,,,,,,,PGC-TLK DIRECT CORE,,,,,,
 ME3-D1-TLKA , ME-D1-BNKC_2 ,2/1/1,3/2/1,JASUKA,T-Kelapa-1,IO1T10G-1/LH,,2,2,,194.0,Baturaja-1,IO1T10G-1/LH,,4,1,, 194.0 
,,,,JASUKA,Baturaja-1,IO1T10G-1/LH,,2,13,,192.9,Bengkulu-1,IO1T10G-1/LH,,2,1,, 192.9 
 ME3-D1-TLKA , ME-D1-JBCA ,5/1/5,3/1/2,JASUKA,T-Kelapa-1,IO1T10G-1/LH,,4,3,,193.7,Jambi-1,IO1T10G-1/LH,,2,13,,193.7
 ME3-D1-TLKA , ME-D1-JBCA ,6/1/1,3/2/1,JASUKA,T-Kelapa-1,IO1T10G-1/LH,,4,6,,193.9,Jambi-1,IO1T10G-1/LH,,2,15,, 193.9 
 ME3-D1-TLKA , ME-D1-JBCA ,10/1/1,4/1/1,JASUKA,T-Kelapa-1,I10T100G,,10,1,7,194.7,Jambi-1,I10T100G,,5,1,7,194.7
 ME3-D1-TLKA , ME-D1-JBCA ,1/2/1,5/2/2,JASUKA,T-Kelapa-1,I10T100G,,10,1,6,194.7,Jambi-1,I10T100G,,5,1,6, 194.7 
 ME3-D1-TLKA , ME-D1-PGPA ,4/1/2,2/1/2,SBCS,192_SBCS_TKP_00,52TQX,,0,29,1,,187_SBCS3R_STO-PKP_00,52TQX,,0,26,1,
 ME3-D1-TLKA , ME-D1-PGPA ,8/2/1,5/2/2,SBCS,192_SBCS_TKP_00,11LTX,,0,12,1,192.3,187_SBCS3R_STO-PKP_00,11LTX,,0,21,1,
 ME-D1-TJKA , ME-D1-PGPA ,5/1/1,2/1/1,JASUKA,NSN_7300_BDL,IO1T10G-1/LH,,3,1,,192.9,NSN_7300_CKA,IO1T10G-1/LH,,6,7,,192.9
,,,,SBCS,181_SBCS3R_ST-CKP_00,11LTX,,0,2,1,192.1,182_SBCS3R_NOC-ANC_00,11LTX,,0,2,1,192.1
,,,,SBCS,210_SBCS_NOC-ANCL_03,96LTX,,0,12,1,192.2,212_SBCS_NOC-TBI_01,96LTX,,0,2,1,192.2
,,,,SBCS,183_SBCS3R_NOC-TBI_00,55TQX,,0,1,1,,187_SBCS3R_STO-PKP_00,52TQX,,0,1,1,
 ME-D1-JBCA , ME2-D1-TLPA ,5/2/1,1/1/3,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME-D1-JBCA , ME2-D1-TLPA ,1/1/5,4/1/2,FO,DIRECT CORE,,,,,,,DIRECT CORE,,,,,,
 ME2-D1-MABA , ME2-D1-TLPA ,1/1/1,2/1/1,JASUKA,MUARABUNGO-1,I10T100G,,6,1,3,196.0,JAMBI-2,I10T100G,,3,1,3, 196.0 
 ME2-D1-MABA , ME2-D1-TLPA ,1/1/2,2/1/3,JASUKA,MUARABUNGO-1,IO1T10G-1/LH,,2,15,,194.1, JAMBI-2 , IO1T10G-1/LH ,,2,5,,194.1
 ME2-D1-MABA , ME2-D1-TLPA ,1/1/3,2/1/2,JASUKA,MUARABUNGO-1,IO1T10G-1/LH,,2,12,,193.8,JAMBI-2,IO1T10G-1/LH,,1,12,, 193.8 
 ME2-D1-MABA , ME2-D1-TLPA ,1/1/4,2/1/5,JASUKA,MUARABUNGO-1,IO1T10G-1/LH,,2,10,,193.9, JAMBI-2 , IO1T10G-1/LH ,,1,13,,193.9
 ME-D1-TBTA , ME-D1-KISA ,3/1/1,4/1/1,JASUKA,NSN_7500_TBT-05,OCR10TV5,,141,10,1,193.6,NSN_7500_KIS-04_OCU1,OCR10TV5,,141,7,1, 193.6 
ME-D1-TBTA,ME-D1-KISA,4/2/2, 5/1/2 , JASUKA ,NSN_7500_TBT-05,OCR10TV5,,141,7,1,192.9,NSN_7500_KIS-04_OCU2,OCR10TV5,,141,5,1,192.9
 ME-D1-TJKA , ME3-D2-CKA ,4/1/5,2/1/5,JASUKA,BANDARLAMPUNG-1,IO1T10G-1/LH,,1,14,,194.4,CIKUPA-1,IO1T10G-1/LH,,3,8,, 194.4 
,,,,,,,,,,,,,,,,,,
ME-D2-CKG,ME-D2-TAN,5/1/1,4/1/2,RMJ ALU JKT,CKG PSS-32,,,1,12,C1, , DWDM ,TAN PSS-32,,3,16,C1,
ME-D2-CKG,ME-D2-TAN,6/1/5,1/1/1,RMJ ALU JKT,CKG PSS-32,,,1,11,C2, , DWDM PSS32 3/15/C2 ,TAN PSS-32,,3,15,C2,
ME-D2-CKG,ME-D2-TAN,7/1/3,1/1/2,FO,DIRECT CORE,EJA CORE 5-6,,,,,, VIA EJA_Core 5-6 ,,,,, ,
ME-D2-CKG,ME-D2-TAN,7/1/4,2/1/1,RMJ ALU JKT,CKG PSS-32,,,1,13,C2,, DWDM 3/17/C2 ,,, ,,,
ME-D2-CKG,ME-D2-TAN,7/1/5,4/1/4,FO,DIRECT CORE,,,,,,,core,,,,,,
ME-D2-CKG,ME-D2-TAN,7/2/4,5/1/1,FO,DIRECT CORE,EJA CORE 27-28,,,,,, TC CPD_Core 21-22 ,,,,,,
ME-D2-TAN,ME-D2-SRG,2/1/3,4/2/4,RMJ ALU JKT,TAN PSS-36,,,1,3,C1,, WDM:SGPSS36_1/3/C2 ,SRG PSS 36,,1,3,C2,
ME-D2-TAN,ME-D2-SRG,4/2/6,4/1/6,RMJ ALU JKT,TAN PSS-36,,,1,2,C4,, WDM:SGPSS36_1/3/C4 ,SRG PSS 36,,1,3,C4,
ME-D2-TAN,ME-D2-SRG,5/1/5 ,5/1/5,RMJ ALU JKT,TAN PSS-36,,,1,3,C2,, WDM:SGPSS36_1/2/C3 ,SRG PSS 36,,1,2,C3,
ME-D2-SLP,ME-D2-CKG,1/1/5,6/1/3,FO,DIRECT CORE,,,,,,, DARK FO ,,,,,,
